Correct, Wrong
ed, edm
bhaal, bhaalp	bwaal
ujarna, ujamna	ujara	uyjarna
fark, fcrk	farkq	faryk	fvrk	faru	jark	fars	fartk	nfark
zuban, zubanx	zubaon	zubak	zubas	zubahn	zubaln	zubxan	uzuban	zuzan
qareebi, xareebi	qzareebi	qareegbi	qarieebi	qaieebi
dastakhat, dastakhjt	daqstakhat	dastakhbat	dastakhakt	qdastakhat	dhastakhat	damtakhat	idastakhat	dastakhatu	dastakihat
ask, ajk	arsk	adsk	askr	asw	fsk	aqsk	apsk	afk	askh
dostana, dostasna	doztana	dmstana	dostava	dgstana	dostanac	domtana	dostanu	dosjana	bostana
utna, utaa	utxa
hurt, hvrt	hlurt	rhurt	humrt	hlrt
wapsi, wacsi	waosi	sapsi	wapsii	waypsi	wapsoi
understand, unrerstand	understadnd	umderstand
leti, bleti	wleti	lfti	lceti	ltti	lbti	lmti	letig
numaya, numaaa	numayd	humaya	numayea
naal, xnaal
traffic, braffic	tsraffic	tjaffic	tyraffic	traffec	trzffic	trarffic	traffid	taffic	traffics
lot, lopt	lmt	lote
pasandi, nasandi	pasandxi	pasandb	hasandi	paosandi	pahsandi
khoraak, khoraakz	khoiaak	khorgak	khoraakn	khorayak	ihoraak	rhoraak	khorvaak	kvhoraak	kjhoraak
sharminda, sharmxinda	sharmilda	sharhinda
dasta, qasta	dqasta	daota	dastu	drasta
khulasi, khulfsi	khulaei	khulasb	khzulasi
ardari, ardarwi	ardavi	arduari	akrdari	ardario	aedari
alah, oalah
marnay, zarnay	mharnay	mwrnay	marnkay	earnay	zmarnay	marnayb	mdrnay	yarnay
parhnay, darhnay	parhynay	piarhnay	pharhnay
blisbotpiku, blisbotniku	kblisbotpiku	blisbothpiku	blisbotpiau	blisbtotpiku	blisvbotpiku	belisbotpiku	blisbotipiku	blisbotopiku	blisbotlpiku
khubsurt, khubsuret	whubsurt	khubturt	khubsxrt	khuxsurt	khubsure	kgubsurt	khubsert
dushmanon, dushmainon	dushmanun	dushmonon	dushmanoen	dushmznon	vdushmanon	dushmanone	dushmaonon
dad, dadd	dsad	idad	dud
laazmi, layazmi	laazmyi	laazmgi	elaazmi	laazdmi	laazii	leaazmi
habrahat, habraeat	habrahyat	habjahat	habxahat	bhabrahat	fhabrahat	hnabrahat	habracat	habrfahat	habrathat
bharpoor, bherpoor	bharpqor
mexico, mexicoi	mexicno	mnexico	mfexico	mexicog	mefxico	mexdico	mexicj	mexicoo	mrxico
llan, llwn	llar	llean	lran	llon	nllan
classic, jclassic	clhssic	claslic	cldssic
hoshi, hoski	choshi	hozshi	hoshw	hoshim	hbshi
chone, rhone	chosne
run, rqn	drun
hamdardi, mhamdardi	hanmdardi	wamdardi	hamdapdi	hamdardyi	hamdrdi	hiamdardi	hamcdardi	hamxdardi
without, withoudt	wwithout	jwithout	witwout	wlthout	wathout	qithout	withodt
hotel, htotel	hojtel	nhotel	hoctel
gaaye, gaayr	gaayez	gaaxye	gqaye	gaoaye	gaxye	gfaaye	gaayue
aga, akga	qga	agx	agf	agu	afga	zga
bag, dag	btag	bfg	bmag	zag	bagn	bakg
khuli, khuwli	khueli
shahadat, shfhadat	shdahadat
security, secucity	securily	seccrity	securimty	sedurity	securiyy	securpity
sorat, sotat	morat	soradt	rsorat	zorat	soract
talaab, talhaab	stalaab	tauaab	talafab	talaib	tclaab	talaat
airee, axiree	aiuee	hairee	adiree	airese	airhe	aairee	yairee
rashmi, rashms	rakshmi
spun, spsun	spkn	sputn	soun	splun	spunt	spuun
mut, mutu	umt	mutx	muf	hmut	mux	mue	mutg	mutb
national, nationxl
larnay, larcnay	larnqay
date, datec	dnte	datew	dqate	dated	datoe	datme	daje	datxe
rd, rdw	r	rpd	rbd	rdt	brd	rds	rqd
isiliye, isiltiye	isiliyd	ismiliye	isiliyex	isilipe	isilile	kisiliye
hagwan, hagywan	hacgwan	haqgwan	hagwfan
hri, hrz	hrt	hlri	hki	hrsi
munfarid, munfaridp	munfaorid	munfariid	munfcarid	munfarad	munfaaid	munfarix	munoarid
rozana, rojzana	roqzana	rozkana	rozanaz	rozapna	rozafna	rouana
acebook, acembook
muhim, huhim	muhsim	umuhim	muhii	ouhim
crush, crushe	crxsh	caush
vs, vsh	vsn	kvs	vsd	vsw	vsu	uvs
bye, byeb	wye
khela, hkhela
act, pact	acf	gact	atct
reat, rmat	rezat	reayt	reao	raet
majmoa, mpjmoa	mjamoa	majmoqa
banti, mbanti	bpnti	banci	bantdi	banki	banfi	banmti	bantp
danda, dandf
mehv, mehvm	meehv	mehvg	mehwv	dehv	mbehv	mehxv	mjehv	mehvf
bandar, bmandar	bhndar	jbandar	bacdar	bandao	bnandar	bandarb	bandarh	bandiar
lamhaat, lzmhaat	ylamhaat	lamhqaat	samhaat	tlamhaat	labhaat	lamshaat	laphaat
nishandahi, nishandahsi	nijshandahi	nisandahi
girls, gils	gnrls	girws	gigls	girlv
manshiat, mpanshiat	mantshiat	mahshiat
zmat, zmaut	fzmat
samay, sagmay	samao
chalein, khalein	chaleiny	chavein
arte, ahrte	narte	aurte	acte	arhte	arfe	abte	artne
idea, didea	ideac	sdea	iudea	ideay	ildea	idead	idez	ihea	ideea
ig, rig	izg	igl	igu	iog
au, aui	awu	uau
kisne, kdsne	kisnek	kiqsne	kisnge	gkisne	ikisne	kixne	kisned	kisnie
sharif, shabif
language, languauge	lansuage	lanauage	lnaguage	languaze	zanguage	languagq	laonguage	languabe
adda, cadda	radda	addya
beshtar, besrtar	beshtarb	beshtak	beshtalr	becshtar	beshtayr
naazuk, xaazuk
aid, aitd	aqid	aidm	asid	tid	aind	aidj	adid
bhaap, bhaaup	dbhaap	obhaap	rbhaap	bhacap	bhaaz	bhaxap	bhaaw
phatna, hphatna
law, lawp	alaw	uaw
waale, xaale	wafle	wbaale	waaleh
hmare, ihmare	hmarse	hmarwe	hlmare	hmanre	hmarex	hmaren	hmave	hmarep
muashray, muasnray	muashrjay	muashrayw
talk, talpk	tblk	talm	tahk	tablk	ealk	vtalk	talkx	talj
oonchai, oonchaib	oonchaf	oonchaih	oonceai	okonchai	ooknchai	ooichai	ooncham
esse, esseq	esve	essee	osse
bss, bssd	dss	bhss	wbss	bsjs	bssa	bhs	bso
raahi, raahik	raaji	eraahi	raahr	raaahi	raahe	raahxi
says, tays	rsays	iays	saygs
usy, uhsy
looking, kooking	lookixng	lookeing	loobking	lodking	loohing	lookinag	lmooking
udhar, udhax	udharq	udthar	udhqar	uydhar	ndhar	udfhar
nakami, nakamfi	nakymi	nakammi
batakh, baatakh	bataokh
chaltay, chacltay	chapltay	chaltjy	chialtay	caltay
farzi, farhi	farxi	farizi	farzo
isay, isaya	ijsay	isae	isgy	iszay	isayn	isayx	iusay	ioay
rahey, raney	rkahey	rahzy	raheuy	raheey	yahey
va, vau
qiyam, qiyafm	qiycm
strong, straong	stjrong	stdrong
orld, orldg	orlqd	irld	odrld	orlwd	ohld	orldi	ocld	orlh	ovld
uran, iuran
pki, pvki	kpki	npki	pmi	pkbi	hpki	pkp
choro, chorom	cchoro	choru	chloro	chozo	chorqo	chorbo
must, qust	musxt	musyt	meust	mdst	mmust	mbust	musn	mjst	musj
salamat, salabat	saleamat	salamft	salamut	salawmat	ealamat	salsamat	salamaet	salxmat	salamaxt
posh, eosh	yosh	posmh	uosh	tposh
seen, slen	qseen
bdul, bdud	bdoul	btul	bdzl	bjul
onu, gonu	onzu	ofu	oku	zonu	onug	qonu	ocnu
jany, janym
simon, fimon	skimon	gsimon
lkn, lkrn
hatmi, hatmvi	hatmj	hatmdi	hactmi	rhatmi	hajmi	hantmi	hnatmi	hzatmi	hatmri
banatay, wanatay	bavatay	banfatay	banaaay	brnatay	babnatay	banatayr	branatay	bzanatay	banpatay
nly, cly	cnly	nlyh	nlzy	nlsy	nluy	nlv
didi, ddii	cdidi	doidi	didxi	edidi
lagtay, lagtayk	lvgtay	lagtaoy	lagtaly	lagtky	lafgtay	lagwtay	lagtoay	lagtuy
aftaab, aftwaab	jftaab	kaftaab	ftaab	aftavb	aftaoab	aftaap	bftaab
ongratulations, ocngratulations	ongratalations	ongratulationsa	ongratultions	ongnratulations	ongrateulations	mongratulations	ongratulnations	ongratulaotions
karlo, kdrlo	karclo	karljo	zkarlo	karlho	kaalo	kkarlo
ikhlaq, ikhlasq
ahira, ahija	xahira	ahirfa	ahiraf	ahfira
orhana, orcana	orrhana	orihana
everyone, everyocne	egveryone	evexryone	everyene	evkryone	ederyone	wveryone	sveryone	evewryone	everyoke
sweet, sweed	swkeet	swezt	swneet	osweet	svweet
son, tson	sonj	uson	sofn	sonq	soyn	smon	scn
junoon, junokn
zalim, ozalim	zcalim	zaulim
nigaar, nigyaar	nqigaar	nigaacr	nigauar	nigahar	nigaarf	nighar	nsgaar	nigaaar	nijaar
wakeel, waqeel	wajkeel	wakeeli
cool, coow	eool	coozl	cooe	czol	coolk	cojl
katnay, kytnay	kagtnay	katznay	katnzay	kadnay	katnav	katnyy	kqatnay
sulooq, suuooq	fsulooq
krni, krnij	urni	krnit
cr, qcr	fcr	ctr
izr, izkr	bzr	izrr	ihr	lizr	iqr	iyzr
zar, zhr	yzar	zazr	zfr	fzar
unhi, uxnhi	xunhi	runhi	knhi	uihi	unhil	vunhi
bollywood, bolgywood	bollypood	bollnywood	bollywuood
heikh, hedkh	heikhm	hikh	heckh	feikh	heiksh
chungal, chungaf	chungnal	chungcal	chungael
jageerdar, jaueerdar	jageerdxar	jaqgeerdar	kageerdar	jageevdar	jakeerdar	jageerqdar	jagxeerdar	nageerdar	jageerzdar
tehqeeq, tehneeq	tehleeq
baaki, bhaaki	aaaki	baxki	bkaki	baakim
thaa, ghaa
josheelaa, ejosheelaa	josheelaj	joshqeelaa	joshreelaa	joswheelaa	uosheelaa	joshaeelaa	josfeelaa	josjheelaa	jobheelaa
jawabi, jawcabi	jpwabi
ore, ores	orej	oae	fore	oer	oroe	gre	qre	otre	omre
maro, ymaro	marzo	mbro	marom	jmaro	mavro	xmaro	mamro	mgaro
ii, iig	iic	iiq	iiz	mii	ixi	iai
jirgah, mjirgah	jrigah	jircgah
akin, gkin	aknin	aktn	jkin
shamil, shsamil	ssamil	shawmil	shamilz	shawil	shamuil
rujhan, rujean	rujhxan	ruqjhan
khoobi, khvoobi	jhoobi	ohoobi	kmhoobi	khlobi	khoofbi	khowbi	khoxobi
jasoos, jasooi	jasoohs	jzasoos	jaysoos	jasozos	jasoow	jasoaos
rasam, rasamg	rasagm	rassam	erasam	rasame	rasaxm	raiam	rawsam	hrasam	raslam
cal, cval	cax
qaidi, oqaidi	qadi	qaiwi
dino, disno
positive, positlve	pjsitive	pzsitive
cenoura, cenousra	cenourja	ceonoura	cenour	ocenoura	cenourf	cdnoura	cenourda	wenoura	ceenoura
nees, neas	hnees	neges	nsees	neks	nedes	nqees
kn, knz	knx	gkn	kwn	knk
soonahre, psoonahre	sooqahre	soonahtre	soonadhre	soonlahre	soonahrte
gaand, gaaqd	gaanld	ganad	gvaand	zgaand	gacnd	garand	gsaand	gaaod
aesa, aeusa	aesac	aesga	aesaw
bosa, eosa	brsa	bosr	bzsa	josa	kbosa
munjamad, munjauad	munjumad	munkamad	munjamazd	munjamadi	munjfamad	munjamaw	sunjamad
ogo, ogop	ogol	ogow	oyo	ogj
pq, pbq	jq	pdq	bq	dq	mq	jpq
corruption, norruption	corruptnon	corruptionm	borruption	corruptionn	corruptiofn	corrpution	corrupuion	corruptiono
ver, sver	vter
ponch, pbonch	ponyh	pvnch	pogch	aponch	ponzh	ponhc	pnnch
buray, biray	burady	nuray	bsray	burapy	bnray
baaligh, bakligh	baalsigh	baaigh	baanligh	taaligh	barligh	baxligh	baaligdh	baaliggh	bjaaligh
tne, zne	jtne	tnxe	tned
hareef, hardef	hareemf	hareefg	hajreef	hwareef	harepf
shower, showex	skhower	shywer
pril, phil	prqil	dril	prila	prjil
langra, lanpra	langrea	lazgra	mlangra
parday, pardao	paraay	pvrday
sutoon, sutkoon	sutoomn
fashioni, fashiomi	fbashioni
peilna, peklna
lady, ladry	fady	ladyy	lpdy	lbdy	ilady	ladyl
fr, ufr	frg	kfr
asbaab, asbaatb	asabaab	absaab	asbaabb	asbaad	bsbaab
umne, sumne	umnle	upne
mutawazan, mutawazanh	mutawapzan	mutafazan	mutahwazan	mutawazyan	mutawcazan	mutawajan	mutawazai	mntawazan
connor, connoir	codnnor	coninor	cornnor	connogr	connou	ceonnor
personal, perconal	pzersonal	pevrsonal	pbersonal
ears, fears	cears
thal, thbl	tzal	sthal	theal	thnal	thaul	thav
rupay, rupsy	xupay	rupaj	jupay	rupaky
dukhi, dukhli	dbkhi	aukhi	dukhdi	dukhiw	dskhi
darakhton, dsarakhton	daiakhton
videos, videdos	videfos	vmideos
kings, kiogs	jkings	kinsg	kinngs	kingj	kingf	vings	kungs	ckings	kinss
tarmeem, tarmesm
asleha, aslhea	aslehau	atsleha	asleiha	asmeha	aslelha	aslenha	arsleha
lehaaz, leahaaz	lwehaaz	ilehaaz	lehamaz
chonka, fchonka	cfonka	chonkm	chonkaz	chonja	chonxka	chotka	chonkka	chopnka
numayesh, numayesvh	npmayesh	numaysh
shows, rhows	shouws	shorws	shtows	syhows	shoss	showt	shnows
send, senb	sendu	senjd	seny	seind	senyd
railway, raijway	railgway	razilway	railwiay	raivlway	raiuway	railwauy	railwafy	railwaiy
takeed, takeyd	takeevd	taxkeed	takeeo	takeejd	gtakeed	takdeed	ptakeed	takeld
aniversrio, uaniversrio	aniverbrio
colonel, cholonel	colonef	colonelh	coelonel	colqnel	colonea	ceolonel
punch, punchc	punchi	punxh	ppnch	punph
pasandeedgi, pasandweedgi	pasaxdeedgi	pastndeedgi	paaandeedgi	pasmandeedgi
nki, rki	ngki	pnki	tki	vki	nkis
aabi, aabk
janchna, janclna	jafnchna	janchnam	jynchna	jancfhna	janichna	janchlna	janchnax	ijanchna	janchnj
khandaq, ykhandaq	khandaqe	ksandaq	khandai	kandaq	khandawq
actor, actfr
saja, sahja	sxaja
astabal, astabaol	azstabal	autabal	astabafl
mari, maui	matri
mey, meyh	mky	jey	jmey	amey	mly
konsa, vkonsa	ktnsa	kolnsa	konsza
plastic, plastin	plasdtic	pylastic	plastwic	plasutic
mjhy, mjhwy	mjhr	qmjhy	mjky
namak, nxmak	nhmak	namdk	naxak	uamak
afsanwi, afsanbwi	afsanwsi
iztiraab, iztiraib	iztiraba	iztivaab	iztiraa
suni, sudi	suniq	funi
wow, pow	uwow	woyw	woc	vow	wgow	iwow	wob	wcw
goonga, goosnga
atanat, btanat	atoanat	atanatm
lout, lojt	louut	lourt	lyut	louw	louqt	lput	loutr	louo
aasra, aasrat	aasrza	aasrah	iasra	aabsra	aasla	aaara	aasrav	wasra	aasrwa
rat, rjt	raxt	rqt	rwt	rfat	ryat	rpt	rcat	rayt	rit
andaz, andazs	afndaz
makahffaf, makaohffaf	markahffaf
tod, wtod	ztod	ftod	ltod	todg	rtod	tjod	totd	tohd
haftay, havtay	haftahy	heaftay
saltanat, saltanah	saltafat	saqtanat	saltayat	caltanat	salytanat
paidaar, paydaar	palidaar	paisdaar	paidaak	paiaar	paidwar	pkidaar	paidbaar
pro, rpro	pho	prj	prno	prxo	pruo	proo	gpro	sro
irtiqa, irtiqai	pirtiqa
su, xsu	gsu	swu	tsu	u
almaari, alwmaari	almaali	atmaari
bacho, bacuho
dor, dogr	dvor	doq	doer	dyor	dbor	gdor	xdor	dop
karan, karah	kafran	kauan	kavan	knaran	karal	kxran
rain, raijn
qtidaar, qtidaara
reason, reasobn	rceason	rwason
tala, taula	teala
adaigi, ataigi	adajigi	hdaigi	adaugi	adaigiz	aqaigi	adaigz	adadgi
protest, priotest	protesmt	prcotest	peotest	protestm	ppotest	lrotest	protesj
exas, exans	bexas	cexas	exays	exavs	exvas	exgas
white, whfte	whife	whtte	wlhite	whikte	whqite	whipe
mau, lmau	mafu	mnau	mhau
salahiyaton, salahiyatox	solahiyaton	saqlahiyaton	sanahiyaton	salahyiaton	salahidaton	salaxiyaton	salaqiyaton
mulazim, mulabzim	mucazim	mulazijm
krwa, urwa
noon, noofn	noog	nofn	nocn	noosn	nokon	nooan	znoon
bakri, bakrmi	balkri	bakrdi	bakrib	bapkri
iddharth, iddsharth	iddhharth	igddharth
tufaan, tufaaf	tufoaan	tufwan
zaheen, zayheen	zahee	zadheen	zaleen
khilona, khilonua	khilonia	khiloca	khiloa	khilonaf	khilojna	khilcna	khmlona	bkhilona
pallay, pkllay	pnllay	paulay	palnlay	pallax	pallzy	pallad
bihar, bkihar	biharm	bihuar	bshar	bihah	bihsar
imam, aimam	imae	imagm	imamn	imwm
doctor, doctzor	doctir	doctfr	dowtor
penny, pknny
ogon, ggon	opgon	ogokn	ogoj	ogoqn	ogin	dgon	ogrn
azi, anzi	azq	hzi
razamand, wazamand	razaamnd	srazamand	razamdnd	rjzamand	rlzamand	razamaed	ramamand
jeff, oeff	jejff	jeflf	jpff
quwatoon, qeuwatoon	quwatoonw	vquwatoon
gazabb, mgazabb	gazabbt	gajzabb
arkaru, arukaru	arkacu	markaru	arktaru	arkaruc	arkearu	arkarut	arkarv	aqrkaru	ariaru
tumahray, tumphray
tamil, teamil	tamim	ptamil	tamile
elizabeth, elizabxth	elizasbeth	elizabketh	elizabetyh	clizabeth	elxizabeth
bairooni, ubairooni	baiaooni	bairoqni	bainooni
asjid, absjid	osjid	abjid	atjid	asjnd
taab, taaba	taqb	taaub	tacb	raab	twaab	taabu	taalb
hmari, lhmari	hmaari	hmarq	hmuri	hmavri	hmarv	hmfri	hmariw	hmarie
mughal, mrughal	wughal	mughhal	mughdl	mxughal	mighal	mubhal
dagha, dagfa	daghea	dasgha	daghta	dagzha	dhgha
rahiye, rahiyes	rahihye	gahiye	rahqye	rahiyeg	rahiyu	sahiye	ramhiye	rahiyec	rahieye
anasir, ynasir	anasire	anasimr	anasrir	anasif	anbasir	aeasir	anasij	anaisr	unasir
gala, gvla	cgala	glla	eala	galag	gzla	gaqla	galpa
adayat, adayaq	adayas	adagyat	adacat	akayat	adayatf	kadayat
amara, amaaa	amaqa
jisam, jiscm	jizam	jisbam	jipam
kaya, kvaya	kaaya	kaba
jaahil, jaxhil	jcaahil	jaahli	jabahil
rs, qrs	ris	rps	rds
dekhta, dekhtea	dtkhta	dekhca	dektta	dejhta	dakhta	demhta
bandhnay, cbandhnay	bandhnaa	bjandhnay	uandhnay	bfndhnay	banddhnay	bpandhnay	bandwhnay
bera, berea	biera	beraj	xbera	becra	berau	zera	blra	bhera	bedra
jaedad, jaedhd	jaeday	jatdad	jaedod
orona, ovona	ortna	horona	oroqa	okrona	oroga	orola	qorona
style, stykle	styl	stile
ideo, idyo	ieo	ibdeo	idero	idaeo	idzeo	lideo
akhara, amhara	mkhara	jkhara	kahara	akharaq	achara
safe, safev	sanfe	smafe	sazfe	snfe
mata, meata	yata
tafrehi, tafrehim	tabfrehi	tafrehmi	ttfrehi	taofrehi	tiafrehi	dtafrehi
anaaj, anaajl
oor, ooe	opor	oow	ooi	ovr	eor	ojor	ogr	ojr
ohot, ohotc	zohot	ohott	ohots	oyot	wohot	ohnot	ohyt
num, unum	nym	nuf	mnum	njm	nujm
rasoom, rzasoom	rnsoom	rabsoom	ragsoom	rdasoom	rasdoom	rasojm
into, intto	dnto	intp	ainto	intpo	iato	inrto	ixnto	intn
harm, habrm	rharm	harum	hkrm	pharm	harms	ahrm	harom	hfrm	larm
serena, serenae
target, tarqet	ktarget	tacget	narget	tirget	tarzet	tarbet	parget	taorget
kahoon, kohoon	kahoyon	kyahoon
itny, ibny	itxny
ukammal, utkammal	ukammsal	ukaummal	ukemmal	qkammal	ukammsl	ukammfl	ukammcl	yukammal
les, lesb	lesj	lejs	lesx	lps	lnes	lfes
sah, sbah	sahf	ysah	sahh	psah	sahv	sac	sarh	sahs	sfah
footage, mootage	fostage	fogtage	foeotage	fooxtage
malah, makah	malajh	malaqh	wmalah	mclah	mqalah	malahl	mnalah	maalh	walah
teela, tewla	teula	yteela	tebela	tdeela	teelha
zaleel, zdaleel	maleel	zalepl	zalyeel	zqleel	zaltel	zalcel	zaleevl
singh, sinkgh
political, cpolitical
qeemti, qeemtr	qeemtiq	qeerti	uqeemti	qqemti
alood, alfod
dya, dnya	dyq	dyu	dyah
roosi, roosai	loosi	roooi	roomsi	rooksi	rooswi	roaosi	roosr
pero, perol
tri, qtri	trni	vri	trsi	triv	trvi	trqi	trpi
moajain, moajaian	moajazn	moajaiin	moajzain	moajaim	moajairn	moajhain	moajarn	mlajain	motjain
bolnay, bolnayw	bolnany	bolnazy	wbolnay	bolvnay	bolonay	bolnwy	bwolnay	bjolnay
tayyarah, tayyacah	tafyarah	tayyaeah
ejriwal, ejriwnl
saanp, saanap	saaap
nsaan, bnsaan	vnsaan	nsapan	nsadn	nsaas	nsaar	tsaan	ansaan
elvis, elgvis
nishanain, ynishanain	nishanyain	nishanakn	nishanais	nishanadn	nithanain	nishanamin	nishanhin	nishnaain	nishanaijn
parasti, parastoi	parajti	parastx	parastn
county, xounty	countfy	counoy	copunty
sbko, sbk	usbko	bsbko	sbku	xbko	sbco	sbkoc	seko	sbkio	lsbko
hisson, hwsson	hiswson	ohisson	hsisson	hbsson	hissonv	cisson	qisson	hispson	hifson
syed, kyed	symed	ysyed	syad	sved	syvd	sled	syedk	syefd	hyed
aadha, aadyha	aajha	oadha	aadhc	aadwa	aadhh	gaadha
skty, sktfy	sktwy	sckty	pskty	saty	sktyo	szty
guzarnay, gzarnay	gutzarnay	gzuzarnay	gauzarnay	guzadnay	gurzarnay	guzyrnay	nguzarnay	guzarnsay	guzarnxy
things, thdings	thingso	tihings	thgings
bangal, bagnal	bangall	badgal
oogle, oogule
barbad, barpbad
molana, molanag	mpolana	molaya	morana	molanaa	molaga	smolana	moleana
banayen, banayegn	banayek	banaien	btnayen
jubba, jukbba	zubba	jufba	jjubba	jubbg	juuba
mir, smir	omir	mirq	mzir
hathyaar, hathyuaar	hkthyaar	qathyaar	haqhyaar
goad, ggad	igoad	gxoad
tandrusti, tfandrusti	tandrdsti
shagufata, shsgufata	shagufatak	shagufcata	shagufsata	szagufata	snhagufata	shagunfata	shuagufata	slhagufata
body, boduy	bodfy
neel, nzeel	nsel	neevl	nexl	geel	nekl
helly, healy	aelly	helby	hemlly	hellyo	hellyh	heyly	hetly
ryast, cryast	rhast
boorha, sboorha	boonha	boorah	poorha	bororha	bjorha	eboorha	boorhaj	boorfa
bahawala, hahawala
women, womew	tomen	womeh	wonen	wsomen
slamabad, slamjbad	zslamabad	slaqabad	slamabuad	slamaabad	glamabad	slapmabad	seamabad	ssamabad	slambbad
nagawaar, lagawaar	nagzwaar	naogawaar
maang, maangt	maaxg	mawang	emaang	maaing	maagng
sister, esister	suster	sisiter	sistnr	sistebr	sisbter	snster	suister
twenty, twentz	twentsy	twzenty	wtenty
keya, keyaz	kebya	kemya	keyr
smile, sqile	smaile	smhle	nmile	suile	saile	symile	smxle	smilei
hak, hadk	lhak	habk	ahak	hgak
easier, easpier	iasier	easierc	easner	eascer	eyasier
sayah, sayph	spayah	sayaxh	sayarh	samah
dikhta, dxkhta	dikjta
dhar, dhary	dvar	dhkr	dharu	dnhar
haii, qaii	hazii	hagi	hzii	havi	haoi	hdaii	haqi	haiif	hmaii
daarhi, dasarhi	dlarhi	dakarhi	maarhi	daanrhi	dpaarhi	daaryhi	diarhi	daarwi
lection, lectioj	lectiobn	clection	lectyon	lecton	lectioi	lectign	lecrtion	ltection	eection
ugna, ugnag	ugnah	ugena	bugna	ugina	ugnaw	eugna
jhuk, jhukz	jhun	jhjuk	jhqk	jhouk	hjhuk	jhvk	jhku	jhukk	jhuy
fard, feard	mfard	fyrd	fardt	nfard	fardb	fahd
logic, logixc	lfgic	logicp	logis	lhgic	locgic	logtic	logivc	loigic	logit
father, fsther	fatger	fatlher	fauher	fathwr	fathber	fqather	vather	fyther
kise, kpise	kgise	khise
afzodah, afzodahu	afzqdah	afzidah	amzodah	afzohah	ifzodah	wfzodah	afzoaah
challenge, chavlenge	cballenge	cghallenge	kchallenge	chyallenge
burqa, buyqa	burqav
jesy, jesz	jxesy	jejsy	jvesy
shohrat, shohrkat	shohrayt	shohratx	bshohrat	shohraty	shohragt	shohdrat	shdohrat	shohrapt	shjhrat
aapse, aapte	naapse	aapnse	aaphe	aapsec	aiapse	aapye
tibbi, tibvbi	tisbi	tibbfi	tyibbi	ttibbi
walida, walrda	walidxa	walivda	walidax	waulida
rt, rtq	rrt	rtv	rdt
padi, paydi	gpadi	pdadi
khansi, yhansi	kihansi	kcansi	khansic	ktansi	khrnsi
atch, ctch	atchu	amtch
sense, bense	sezse	sensed	vense	senuse	sengse
aiman, aeiman	atman	aimapn	aimn	aifan	ziman	kiman
girnay, girnny	jgirnay	giqrnay	gienay	gipnay	girhnay
safhaat, sashaat
sat, szt
idi, iedi	idw	fidi	idp	ibdi	idwi	idip
bitanay, bitcnay
pade, padj	zade	pnde	upade	padae
picture, psicture	pitcure	pictuue	ipicture	pictuze
charah, qcharah	chjrah	chargh	chazrah	chvarah	charahf	chafah	cqarah
rule, rtule	rulc	reule	gule	ruhle
aseem, lseem	laseem	aseeq	gaseem	asoeem	aiseem	useem	asemem	asmeem
onche, oyche	oncha	onchk	onchne	oiche
luck, lupk	lusk	lucv	lucgk	lucfk	lulck
jada, jzda
tajzia, tasjzia	tajziy	tajziia	tapzia	taojzia	taqjzia	taozia	tajziaf
roza, rozia
gareeb, gareeh	gareeba	gareib	garedb	gareec	gabreeb
hoke, hokie
aakar, cakar	aakmar	aaksr	aakmr	axkar	aakpr	aafar
baaghi, baahi	baaohi	jaaghi	baaghui	baagrhi	baaghoi	iaaghi	baadghi
bukan, bukanb	bukang	bukagn	bupkan	buskan	bufan	bqukan	bukax
could, coulcd	ycould
srael, shael	sraen	srrael	srhael	usrael	sraegl	sriel	sraelt	sreal	szael
hut, huet	hdut	hmut	lhut	huv	hgt
abrow, abrod	dabrow	iabrow	abrdw
low, lrow	lnow	lowz	lowp
patlon, patlof	patlpn	patson	patlons	pvtlon
sur, cur	qsur	skr
chota, chkota	chotw
sliye, lliye	xsliye	suiye	sliyue	sxiye	slixye	sgiye
dhair, dhapir	ydhair	vdhair	dnair
paneer, paneeg	epaneer	panleer	pfneer	peneer	palneer	paneerm	gpaneer	pbneer
bakhshna, bakhshnka	bakhsbhna	boakhshna	bakhsphna	bakhshena	bakhshnza	baghshna	bakhvhna
jaal, jaalg	japl	japal	jasal	ejaal	jgal	ijaal	jazl
jaaiz, jaaizp	jaaiq	jaahiz	jaaizb	jpaaiz	jaaiw
parao, pgrao	wparao	paraa	paraow	paraoq	pacrao	tarao	pagao	paerao
arta, zrta	artq	artad	aerta	xrta	artv	aroa	artr
tim, tsm	tkim	tdim	tdm	eim	tfim	tuim
angoor, anmoor	anboor	angkoor	aqngoor	angpoor	angofr	angofor	angooor
milne, miwlne
cheen, nheen	cheepn	chfeen	cheezn	cheens	oheen	xheen	zheen	cheef	cnheen
else, ezse	elise	elsef
karny, aarny	vkarny	karnyi	earny	karno	kazny	karxny	karwy	kapny
times, tcmes	itmes	tives	ticmes	timaes	timehs	timjes	timens	timeh
mu, mtu
thos, theos	thog
bill, billu	biltl	qbill	bilml	bili	iill	bixll
hudood, hudoud	hudoog	huduood	rudood
means, meadns	eeans	mkans	meansn	meahs	gmeans	meand
humko, huomko	shumko	hutko	humlko	qumko	humxko
page, patge	fpage	eage	pagre
hours, houns	hogurs	mhours	hocrs	houfs	eours	hpurs
nazriya, pnazriya	nazrrya
peeche, upeeche	peelhe	perche	peevhe	qeeche
tareeqon, ftareeqon	tareeqjon
